<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MOEX;D;20190904;000000;95.3000000;95.7300000;94.6500000;95.5300000;5599910
MOEX;D;20190905;000000;95.5800000;96.1900000;95.0100000;95.3000000;6377210
MOEX;D;20190906;000000;95.3900000;96.1900000;94.6200000;95.5400000;5178500
MOEX;D;20190909;000000;95.4300000;96.0100000;93.7500000;95.6500000;7123400
MOEX;D;20190910;000000;95.4200000;95.6400000;94.5000000;95.1800000;6458780
MOEX;D;20190911;000000;95.2000000;96.9800000;94.0500000;96.7900000;10932580
MOEX;D;20190912;000000;96.8800000;97.6400000;95.8000000;96.0000000;7872520
MOEX;D;20190913;000000;96.0700000;97.7700000;95.3300000;96.8000000;14941990
MOEX;D;20190916;000000;97.0000000;97.3800000;96.0700000;97.3500000;7885390
MOEX;D;20190917;000000;97.2500000;97.6900000;96.4700000;96.6500000;7535470
MOEX;D;20190918;000000;96.4300000;96.9000000;95.5200000;95.9600000;5551110
MOEX;D;20190919;000000;95.9500000;96.8100000;95.5400000;96.2400000;5032580
MOEX;D;20190920;000000;96.3400000;96.6600000;95.2600000;95.5800000;5756200
MOEX;D;20190923;000000;95.2900000;96.1200000;94.3000000;96.1200000;3824000
MOEX;D;20190924;000000;95.8200000;96.0000000;94.7000000;95.1500000;3277970
MOEX;D;20190925;000000;94.7000000;95.0900000;94.1000000;94.9900000;4595300
MOEX;D;20190926;000000;94.8500000;95.3500000;94.3700000;94.9400000;3090390
MOEX;D;20190927;000000;94.9200000;95.6600000;94.5500000;94.8500000;3528000
MOEX;D;20190930;000000;94.8700000;95.2900000;94.2500000;94.7400000;3880700
MOEX;D;20191001;000000;94.8400000;95.2300000;94.4100000;95.0300000;3192640
MOEX;D;20191002;000000;94.7600000;95.6300000;91.3200000;91.5500000;12178360
MOEX;D;20191003;000000;91.7200000;92.6800000;90.5100000;91.6900000;8524470
MOEX;D;20191004;000000;92.0000000;93.1600000;91.3000000;91.4400000;5594390
MOEX;D;20191007;000000;91.8000000;92.1000000;90.8500000;91.0100000;3425960
MOEX;D;20191008;000000;91.1400000;91.3400000;89.6200000;90.0000000;7057600
MOEX;D;20191009;000000;90.0500000;90.5600000;89.5500000;90.1000000;6480830
MOEX;D;20191010;000000;90.0500000;90.3700000;89.7200000;90.0000000;3872140
MOEX;D;20191011;000000;90.1000000;90.4200000;89.6400000;90.2500000;4821670
MOEX;D;20191014;000000;90.4000000;90.9500000;89.2300000;89.6900000;6029450
MOEX;D;20191015;000000;90.4200000;91.7500000;90.3400000;91.5000000;9618160
MOEX;D;20191016;000000;91.6800000;93.9500000;91.3700000;93.9500000;11356790
MOEX;D;20191017;000000;93.8000000;94.7300000;92.3100000;92.7000000;8561270
MOEX;D;20191018;000000;92.7300000;93.7900000;92.3900000;92.7000000;4899720
MOEX;D;20191021;000000;92.7500000;93.2900000;92.0200000;93.2600000;5293520
MOEX;D;20191022;000000;93.2900000;94.3900000;92.2200000;92.9900000;8493230
MOEX;D;20191023;000000;92.8600000;93.3200000;92.5000000;93.0500000;4228020
MOEX;D;20191024;000000;92.9400000;93.0700000;91.3600000;92.1500000;9386930
MOEX;D;20191025;000000;92.0000000;93.2000000;91.7200000;93.2000000;7697730
MOEX;D;20191028;000000;93.0100000;94.2100000;93.0100000;93.6100000;6710640
MOEX;D;20191029;000000;93.7000000;94.6000000;93.3300000;94.0000000;3612330
MOEX;D;20191030;000000;93.8500000;94.9900000;93.5800000;94.9900000;5996160
MOEX;D;20191031;000000;95.0100000;95.6700000;94.1000000;95.0300000;8092270
MOEX;D;20191101;000000;94.8200000;97.4300000;94.4400000;97.0500000;10780050
MOEX;D;20191105;000000;97.0500000;100.5000000;96.6000000;100.2900000;29791340
MOEX;D;20191106;000000;100.2000000;100.2800000;98.7100000;99.9500000;9474050
MOEX;D;20191107;000000;99.4500000;100.4900000;99.1200000;99.5200000;8923150
MOEX;D;20191108;000000;99.5000000;100.1800000;98.2000000;99.1400000;7332530
MOEX;D;20191111;000000;98.8800000;100.0000000;98.5100000;100.0000000;4744810
MOEX;D;20191112;000000;100.0100000;100.7400000;99.1500000;99.7000000;9809620
MOEX;D;20191113;000000;99.9800000;100.2600000;99.3200000;100.2600000;3475500
MOEX;D;20191114;000000;99.8100000;100.8800000;99.1600000;99.9400000;5019620
MOEX;D;20191115;000000;99.9800000;100.3700000;99.7000000;100.1300000;2712400
MOEX;D;20191118;000000;100.0000000;100.4900000;99.6100000;100.0000000;3511380
MOEX;D;20191119;000000;99.9800000;100.5000000;99.8200000;100.5000000;5045920
MOEX;D;20191120;000000;100.2200000;104.0500000;100.2100000;103.1700000;17044140
MOEX;D;20191121;000000;103.3000000;103.3400000;101.7500000;102.7200000;6079520
MOEX;D;20191122;000000;102.4000000;106.3500000;102.1200000;105.2000000;13365490
MOEX;D;20191125;000000;105.3900000;106.0200000;103.7100000;104.4200000;6739060
MOEX;D;20191126;000000;104.5000000;105.4100000;103.8100000;105.0000000;12990300
MOEX;D;20191127;000000;104.9100000;106.8800000;104.7300000;106.5000000;10656660
MOEX;D;20191128;000000;106.2900000;106.8800000;104.8000000;105.5800000;6648240
MOEX;D;20191129;000000;105.6300000;106.2000000;104.9700000;105.7000000;5429110
MOEX;D;20191202;000000;105.7000000;106.2800000;105.1100000;106.2800000;7085490
MOEX;D;20191203;000000;106.1500000;106.2300000;103.8100000;103.8900000;7043330
MOEX;D;20191204;000000;104.0000000;105.9800000;103.8900000;105.9800000;5222320
MOEX;D;20191205;000000;105.9900000;105.9900000;104.3600000;104.3600000;4016640
